Image ID,Time,Latitude,Longitude,Altitude
0,2022-12-23 00:00:04.784225464+00:00,-77.10593907765397,304.8258243910953,6449883.918982136
1,2022-12-23 00:00:10.784210205+00:00,-76.81838827598261,303.75063228126857,6450019.1317856815
2,2022-12-23 00:00:16.784194946+00:00,-76.52433284693925,302.71963679274927,6450050.742245248
3,2022-12-23 00:00:22.784179688+00:00,-76.22558586589656,301.7250025086028,6450016.065052818
4,2022-12-23 00:00:28.784164429+00:00,-75.92751436323915,300.7702605219638,6450136.880739673
5,2022-12-23 00:00:34.784133911+00:00,-75.62349764622216,299.8614441248887,6450206.646253734
6,2022-12-23 00:00:40.784118652+00:00,-75.31432520935282,298.9885551457721,6450195.164207902
7,2022-12-23 00:00:46.784103394+00:00,-75.00512700769265,298.1421245130151,6450243.152690906
8,2022-12-23 00:00:52.784088135+00:00,-74.6932632172672,297.33574073889724,6450354.334142166
9,2022-12-23 00:00:58.784072876+00:00,-74.3766985013555,296.5589092607397,6450366.666307373
10,2022-12-23 00:01:04.784057617+00:00,-74.05989572694658,295.80369306353595,6450423.356359133
11,2022-12-23 00:01:10.784042358+00:00,-73.73954905987826,295.0844434745188,6450482.180552885
12,2022-12-23 00:01:16.784027100+00:00,-73.4203171417949,294.39403766625287,6450685.695282303
13,2022-12-23 00:01:22.784011841+00:00,-73.09309700735191,293.72101892046885,6450602.265200138
14,2022-12-23 00:01:28.783996582+00:00,-72.77020371425365,293.07763831411154,6450819.514504695
15,2022-12-23 00:01:34.783981323+00:00,-72.43960114227161,292.4502373879605,6450747.44353332
16,2022-12-23 00:01:40.783966064+00:00,-72.11040729276763,291.847470659621,6450821.630618325
17,2022-12-23 00:01:46.783950806+00:00,-71.77943258801787,291.26930746544133,6450921.50937498
18,2022-12-23 00:01:52.783935547+00:00,-71.44751025097936,290.70430184559865,6450992.776745392
19,2022-12-23 00:01:58.783920288+00:00,-71.11542817599494,290.16117273129754,6451153.497967707
20,2022-12-23 00:02:04.783905029+00:00,-70.77968782572066,289.63403229787514,6451212.707251798
21,2022-12-23 00:02:10.783889771+00:00,-70.44039872332606,289.1230941049815,6451173.976325135
22,2022-12-23 00:02:16.783874512+00:00,-70.1020598590355,288.62611046054127,6451209.806629673
23,2022-12-23 00:02:22.783859253+00:00,-69.76691903898141,288.1528885206495,6451482.525056482
24,2022-12-23 00:02:28.783843994+00:00,-69.42469707064907,287.6850702498894,6451443.543222817
25,2022-12-23 00:02:34.783828735+00:00,-69.08431912676247,287.23536961343245,6451559.82341728
26,2022-12-23 00:02:40.783798218+00:00,-68.74387265195037,286.79710167880825,6451699.132557791
27,2022-12-23 00:02:46.783782959+00:00,-68.39834290501125,286.37129775520816,6451662.259695319
28,2022-12-23 00:02:52.783767700+00:00,-68.05612709560144,285.95915598099964,6451821.245734436
29,2022-12-23 00:02:58.783752441+00:00,-67.71153263536397,285.55706298410706,6451899.164638202
30,2022-12-23 00:03:04.783737183+00:00,-67.36739789116425,285.1705762207185,6452062.619997592
31,2022-12-23 00:03:10.783721924+00:00,-67.02149299994271,284.7875195583478,6452139.880829001
32,2022-12-23 00:03:16.782760620+00:00,-66.6721541069735,284.41175335182066,6452075.947034085
33,2022-12-23 00:03:22.783691406+00:00,-66.32667439103716,284.0559413988173,6452284.417529121
34,2022-12-23 00:03:28.783676147+00:00,-65.98038893026097,283.7050753003064,6452455.991463338
35,2022-12-23 00:03:34.783660889+00:00,-65.62837601645393,283.3593777211458,6452387.14698269
36,2022-12-23 00:03:40.783645630+00:00,-65.28071836700539,283.02800061422266,6452571.464133936
37,2022-12-23 00:03:46.783630371+00:00,-64.93121572466518,282.7019286543449,6452684.942393564
38,2022-12-23 00:03:52.783615112+00:00,-64.58032286155438,282.383541760852,6452760.070124671
39,2022-12-23 00:03:58.782638550+00:00,-64.2280279812924,282.07130944027807,6452782.654856207
40,2022-12-23 00:04:04.782623291+00:00,-63.8800455160303,281.76920520060094,6453038.617553305
41,2022-12-23 00:04:10.783569336+00:00,-63.52509395295335,281.4721784802102,6452999.968145266
42,2022-12-23 00:04:16.783554077+00:00,-63.175067670568005,281.1824492097289,6453200.814755095
43,2022-12-23 00:04:22.783538818+00:00,-62.81940407599206,280.8987014053218,6453169.860054724
44,2022-12-23 00:04:28.783508301+00:00,-62.47070097501663,280.6228556066537,6453479.665914631
45,2022-12-23 00:04:34.783493042+00:00,-62.1165066927443,280.35026576845684,6453546.347046223
46,2022-12-23 00:04:40.783493042+00:00,-61.75989842044227,280.08307114584306,6453517.63564586
47,2022-12-23 00:04:46.783462524+00:00,-61.40661222518128,279.82432591624945,6453670.136249391
48,2022-12-23 00:04:52.783447266+00:00,-61.05359039928525,279.5706291443,6453848.316946711
49,2022-12-23 00:04:58.783432007+00:00,-60.69710692074535,279.31698054794,6453858.851613
50,2022-12-23 00:05:04.783416748+00:00,-60.343360373698005,279.07569620379826,6454056.931504914
51,2022-12-23 00:05:10.783401489+00:00,-59.98820869090508,278.83476527136133,6454180.29233482
52,2022-12-23 00:05:16.783386230+00:00,-59.63259325320013,278.5998626512218,6454304.596724737
53,2022-12-23 00:05:22.783370972+00:00,-59.27713179920162,278.3700572400814,6454451.491232199
54,2022-12-23 00:05:28.783355713+00:00,-58.91772757689582,278.1403562409073,6454405.575091604
55,2022-12-23 00:05:34.783340454+00:00,-58.5653300711528,277.9205100560921,6454720.774601587
56,2022-12-23 00:05:40.783325195+00:00,-58.20713378035272,277.7009895108719,6454764.778924051
57,2022-12-23 00:05:46.783309937+00:00,-57.85149490342129,277.4872131361495,6454943.217711318
58,2022-12-23 00:05:52.783294678+00:00,-57.49308691709328,277.2756157655213,6455000.253658798
59,2022-12-23 00:05:58.783279419+00:00,-57.13446227391368,277.0678387762485,6455061.638664333
60,2022-12-23 00:06:04.783264160+00:00,-56.77821955304363,276.8646083107841,6455239.881113054
61,2022-12-23 00:06:10.783248901+00:00,-56.41960831811976,276.66331923617173,6455313.39382908
62,2022-12-23 00:06:16.783233643+00:00,-56.063825349760826,276.4680148126626,6455541.568495219
63,2022-12-23 00:06:22.783218384+00:00,-55.702398316666304,276.2725068452017,6455501.780346693
64,2022-12-23 00:06:28.783203125+00:00,-55.34689273675532,276.0824623902741,6455752.379361137
65,2022-12-23 00:06:34.783187866+00:00,-54.98895219139492,275.8958673140009,6455910.031498743
66,2022-12-23 00:06:40.783157349+00:00,-54.62918685654465,275.70910252992905,6455969.744043899
67,2022-12-23 00:06:46.783142090+00:00,-54.268891328470005,275.5274313493387,6456027.888650369
68,2022-12-23 00:06:52.783126831+00:00,-53.91171045768797,275.34726699787655,6456227.296684052
69,2022-12-23 00:06:58.782165527+00:00,-53.55283270449132,275.1722535094897,6456369.97004986
70,2022-12-23 00:07:04.783096313+00:00,-53.19423971558692,274.9987826396635,6456530.384864168
71,2022-12-23 00:07:10.783081055+00:00,-52.83413013144757,274.8253536435098,6456608.987301449
72,2022-12-23 00:07:16.783065796+00:00,-52.471878476000825,274.655810985244,6456606.360443539
73,2022-12-23 00:07:22.783050537+00:00,-52.11505614053423,274.49066145593093,6456866.634268863
74,2022-12-23 00:07:28.783035278+00:00,-51.75802781352707,274.3264258923726,6457112.551577494
75,2022-12-23 00:07:34.783020020+00:00,-51.39525299413632,274.16340641067137,6457103.680350612
76,2022-12-23 00:07:40.783004761+00:00,-51.03599757347576,274.0028582301928,6457258.599977736
77,2022-12-23 00:07:46.782989502+00:00,-50.675457197970566,273.8457917591213,6457368.137780384
78,2022-12-23 00:07:52.782012939+00:00,-50.31482556729479,273.6882930998317,6457456.371019552
79,2022-12-23 00:07:58.782958984+00:00,-49.95669874604837,273.5349655596692,6457685.963529851
80,2022-12-23 00:08:04.782943726+00:00,-49.59524288214158,273.38353193253647,6457761.241209886
81,2022-12-23 00:08:10.782928467+00:00,-49.23595514625752,273.23466449323166,6457951.0632141065
82,2022-12-23 00:08:16.782913208+00:00,-48.87271079016111,273.08378114986937,6457940.810278309
83,2022-12-23 00:08:22.782897949+00:00,-48.51391859580631,272.9371930577147,6458151.862173109
84,2022-12-23 00:08:28.781921387+00:00,-48.1539834607476,272.793467136952,6458317.863219419
85,2022-12-23 00:08:34.782852173+00:00,-47.793223867477415,272.6512457522876,6458457.437556437
86,2022-12-23 00:08:40.782836914+00:00,-47.432405484166445,272.5083414930531,6458578.25922288
87,2022-12-23 00:08:46.782821655+00:00,-47.07079729904244,272.36923660901203,6458679.418947701
88,2022-12-23 00:08:52.782806396+00:00,-46.71100280540141,272.23059312086235,6458857.637993173
89,2022-12-23 01:22:26.959182739+00:00,-45.95231583643208,56.46387313841553,6458989.52341558
90,2022-12-23 01:22:32.959152222+00:00,-46.321143524319325,56.325661537758506,6458903.784313483
