MATS ID,Time,Latitude,Longitude,group_id
8517,2023-02-05 10:29:09.463165283+00:00,-75.31030368729192,141.2724889256786,1
8518,2023-02-05 10:29:15.563140869+00:00,-74.99877964981573,140.42551763825912,1
8519,2023-02-05 10:29:21.663116455+00:00,-74.68156422625295,139.60356969316547,1
8520,2023-02-05 10:29:27.763092041+00:00,-74.3609421465373,138.81437502594713,1
8521,2023-02-05 10:29:33.863067627+00:00,-74.04114023781946,138.0605339326858,1
8522,2023-02-05 10:29:39.963043213+00:00,-73.718360935594,137.3335831736929,1
8522,2023-02-05 10:29:39.963043213+00:00,-73.718360935594,137.3335831736929,2
8523,2023-02-05 10:29:46.063034058+00:00,-73.39017070420502,136.6284001376195,2
8523,2023-02-05 10:29:46.063034058+00:00,-73.39017070420502,136.6284001376195,1
8524,2023-02-05 10:29:52.163009644+00:00,-73.06331849500448,135.95547524696158,2
8524,2023-02-05 10:29:52.163009644+00:00,-73.06331849500448,135.95547524696158,1
8525,2023-02-05 10:29:58.263000488+00:00,-72.73227093464274,135.30276858881928,1
8525,2023-02-05 10:29:58.263000488+00:00,-72.73227093464274,135.30276858881928,2
8526,2023-02-05 10:30:04.362976074+00:00,-72.40209680203158,134.6720462200338,1
8526,2023-02-05 10:30:04.362976074+00:00,-72.40209680203158,134.6720462200338,2
8527,2023-02-05 10:30:10.462951660+00:00,-72.06971330736516,134.06707507057737,2
8527,2023-02-05 10:30:10.462951660+00:00,-72.06971330736516,134.06707507057737,1
8528,2023-02-05 10:30:16.562927246+00:00,-71.73213836475136,133.4806790021729,1
8528,2023-02-05 10:30:16.562927246+00:00,-71.73213836475136,133.4806790021729,2
8529,2023-02-05 10:30:22.662902832+00:00,-71.39925394121654,132.91744297618322,1
8529,2023-02-05 10:30:22.662902832+00:00,-71.39925394121654,132.91744297618322,2
8530,2023-02-05 10:30:28.762893677+00:00,-71.0610162637847,132.36710953199446,1
8530,2023-02-05 10:30:28.762893677+00:00,-71.0610162637847,132.36710953199446,2
8531,2023-02-05 10:30:34.862869263+00:00,-70.72307947113597,131.8409170454124,1
8531,2023-02-05 10:30:34.862869263+00:00,-70.72307947113597,131.8409170454124,2
8532,2023-02-05 10:30:40.962844849+00:00,-70.3786731324084,131.31955032484635,2
8532,2023-02-05 10:30:40.962844849+00:00,-70.3786731324084,131.31955032484635,1
8533,2023-02-05 10:30:47.062835693+00:00,-70.03710574050865,130.8236940424904,2
8533,2023-02-05 10:30:47.062835693+00:00,-70.03710574050865,130.8236940424904,1
8534,2023-02-05 10:30:53.162811279+00:00,-69.69510698759007,130.34191017834,1
8534,2023-02-05 10:30:53.162811279+00:00,-69.69510698759007,130.34191017834,2
8535,2023-02-05 10:30:59.262786865+00:00,-69.35352631196032,129.87590894473493,2
8535,2023-02-05 10:30:59.262786865+00:00,-69.35352631196032,129.87590894473493,1
8536,2023-02-05 10:31:05.362762451+00:00,-69.00515423722253,129.42427906869983,2
8537,2023-02-05 10:31:11.462753296+00:00,-68.6584990392909,128.98042623863338,2
8538,2023-02-05 10:31:17.562728882+00:00,-68.31325937141337,128.55383835882975,2
8905,2023-02-05 13:35:10.471939087+00:00,-73.87410913957002,211.19043673722808,3
8906,2023-02-05 13:35:15.571914673+00:00,-74.14740935245693,210.56340170693932,3
8907,2023-02-05 13:35:22.671890259+00:00,-74.52286062083206,209.66164962666804,4
8907,2023-02-05 13:35:22.671890259+00:00,-74.52286062083206,209.66164962666804,3
8908,2023-02-05 13:35:28.771881104+00:00,-74.84243002920806,208.8596294331384,3
8908,2023-02-05 13:35:28.771881104+00:00,-74.84243002920806,208.8596294331384,4
8909,2023-02-05 13:35:34.871856689+00:00,-75.15947352512971,208.0151095169348,3
8909,2023-02-05 13:35:34.871856689+00:00,-75.15947352512971,208.0151095169348,4
8910,2023-02-05 13:35:40.971832275+00:00,-75.4732976923651,207.13621479650865,3
8910,2023-02-05 13:35:40.971832275+00:00,-75.4732976923651,207.13621479650865,4
8911,2023-02-05 13:35:47.071823120+00:00,-75.78341863274488,206.2385874670561,3
8911,2023-02-05 13:35:47.071823120+00:00,-75.78341863274488,206.2385874670561,4
8912,2023-02-05 13:35:53.171798706+00:00,-76.09132504249426,205.2778318830716,3
8912,2023-02-05 13:35:53.171798706+00:00,-76.09132504249426,205.2778318830716,4
8913,2023-02-05 13:35:59.271774292+00:00,-76.39677169699316,204.2844184335988,4
8913,2023-02-05 13:35:59.271774292+00:00,-76.39677169699316,204.2844184335988,3
8914,2023-02-05 13:36:05.371749878+00:00,-76.69497767818488,203.2533142233306,3
8914,2023-02-05 13:36:05.371749878+00:00,-76.69497767818488,203.2533142233306,4
8915,2023-02-05 13:36:11.471740723+00:00,-76.99035299090595,202.1788005446472,4
8915,2023-02-05 13:36:11.471740723+00:00,-76.99035299090595,202.1788005446472,3
8916,2023-02-05 13:36:17.571716309+00:00,-77.28263073386121,201.04600691274135,3
8916,2023-02-05 13:36:17.571716309+00:00,-77.28263073386121,201.04600691274135,4
8917,2023-02-05 13:36:23.671691895+00:00,-77.56762406370159,199.8757729275449,4
8917,2023-02-05 13:36:23.671691895+00:00,-77.56762406370159,199.8757729275449,3
8918,2023-02-05 13:36:29.771667480+00:00,-77.84947643718189,198.6427448365972,4
8918,2023-02-05 13:36:29.771667480+00:00,-77.84947643718189,198.6427448365972,3
8919,2023-02-05 13:36:34.871658325+00:00,-78.0805874713743,197.5763359894471,3
8919,2023-02-05 13:36:34.871658325+00:00,-78.0805874713743,197.5763359894471,4
