Image ID,Time,Latitude,Longitude,Altitude
0,2022-12-16 18:09:38.135696411+00:00,-46.80207464608568,164.47232921124944,6458209.302881717
1,2022-12-16 18:09:44.435668945+00:00,-47.19106576878361,164.3222775437343,6458019.87132328
2,2022-12-16 18:09:50.735641479+00:00,-47.57571833760835,164.17228021758956,6458037.15155207
3,2022-12-16 18:09:57.035644531+00:00,-47.96726809295272,164.0194234113608,6457736.605567324
4,2022-12-16 18:10:03.335617065+00:00,-48.35569277832739,163.86614878535835,6457579.664832138
5,2022-12-16 18:10:09.635604858+00:00,-48.74325747098559,163.70835415919103,6457440.464437521
6,2022-12-16 18:10:15.935577393+00:00,-49.12893823163045,163.55151777401332,6457398.919690329
7,2022-12-16 18:10:22.235565186+00:00,-49.51866895776249,163.38919456944313,6457150.3003667025
8,2022-12-16 18:10:28.535552979+00:00,-49.903105679292416,163.2290306885205,6457163.30157606
9,2022-12-16 18:10:34.835525513+00:00,-50.29413827187591,163.06178935162748,6456841.845721576
10,2022-12-16 18:10:41.135528564+00:00,-50.67984009619082,162.89515814217074,6456769.239702076
11,2022-12-16 18:10:47.435501099+00:00,-51.06612984877152,162.72714081594216,6456671.040733189
12,2022-12-16 18:10:53.735488892+00:00,-51.45577451497753,162.55370311422598,6456395.242950232
13,2022-12-16 18:11:00.035476685+00:00,-51.83860747334921,162.38039082957607,6456432.715537693
14,2022-12-16 18:11:06.335449219+00:00,-52.22698643256606,162.20304832580717,6456207.723136069
15,2022-12-16 18:11:12.635437012+00:00,-52.61358259099464,162.0229689278162,6456051.940257668
16,2022-12-16 18:11:18.935409546+00:00,-52.99929642469397,161.8406790903575,6455931.124082682
17,2022-12-16 18:11:25.235412598+00:00,-53.384385581288115,161.65581728112005,6455840.360342592
18,2022-12-16 18:11:31.535385132+00:00,-53.772400295941104,161.46721549119457,6455592.317786731
19,2022-12-16 18:11:37.835372925+00:00,-54.154391775019384,161.27661678581796,6455615.602685434
20,2022-12-16 18:11:44.135360718+00:00,-54.53934894547438,161.08500300955706,6455515.855500961
21,2022-12-16 18:11:50.435333252+00:00,-54.92674180642032,160.8836469905382,6455240.90766366
22,2022-12-16 18:11:56.735321045+00:00,-55.31095844488449,160.68537292868274,6455149.373250905
23,2022-12-16 18:12:03.035308838+00:00,-55.69512732259333,160.47974712874458,6455018.806492003
24,2022-12-16 18:12:09.335296631+00:00,-56.07956270752489,160.27221390645312,6454879.678728804
25,2022-12-16 18:12:15.635269165+00:00,-56.4658662474718,160.05818760680054,6454623.7303361185
26,2022-12-16 18:12:21.935256958+00:00,-56.84836102711202,159.84523245030053,6454559.393194961
27,2022-12-16 18:12:28.235244751+00:00,-57.23102212414719,159.62602883550443,6454459.049530453
28,2022-12-16 18:12:34.535217285+00:00,-57.61446420712253,159.40323844088263,6454315.18613024
29,2022-12-16 18:12:40.835205078+00:00,-57.995546596056364,159.17593662314496,6454255.484089393
30,2022-12-16 18:12:47.135192871+00:00,-58.37880686492292,158.94336012232702,6454082.905103024
31,2022-12-16 18:12:53.435180664+00:00,-58.7627824535568,158.70840435961475,6453880.694800781
32,2022-12-16 18:12:59.735153198+00:00,-59.142250659794726,158.46647722626335,6453840.940904065
33,2022-12-16 18:13:06.035140991+00:00,-59.5239139516135,158.22329221682372,6453729.308114376
34,2022-12-16 18:13:12.335128784+00:00,-59.902895372414854,157.97329903324464,6453698.273871403
35,2022-12-16 18:13:18.635101318+00:00,-60.286719048151255,157.71393897664635,6453414.073761632
36,2022-12-16 18:13:24.935089111+00:00,-60.66818640335934,157.45086327805666,6453218.016209237
37,2022-12-16 18:13:31.235076904+00:00,-61.04395032713918,157.18764293737104,6453299.534779181
38,2022-12-16 18:13:37.535064697+00:00,-61.42599919056309,156.91438250492544,6453064.2203832725
39,2022-12-16 18:13:43.835037231+00:00,-61.80362932697207,156.63645200634565,6453005.541770803
40,2022-12-16 18:13:50.135025024+00:00,-62.185442569110904,156.3481391053584,6452715.897643398
41,2022-12-16 18:13:56.435012817+00:00,-62.55867092645378,156.06064952738782,6452831.141995345
42,2022-12-16 18:14:02.734985352+00:00,-62.93682229397014,155.7613305943336,6452669.997658311
43,2022-12-16 18:14:09.034988403+00:00,-63.312796840124314,155.45469155921674,6452578.59899991
44,2022-12-16 18:14:15.334960938+00:00,-63.69144676326894,155.1392813642837,6452329.808139758
45,2022-12-16 18:14:21.634948730+00:00,-64.06631577335473,154.81984246735306,6452263.3868884975
46,2022-12-16 18:14:27.934921265+00:00,-64.43949748050015,154.48638949381865,6452189.966846361
47,2022-12-16 18:14:34.234909058+00:00,-64.80964111566045,154.14263310163025,6452203.7808965
48,2022-12-16 18:14:40.534896851+00:00,-65.18943980577893,153.80080438487175,6451860.279528644
49,2022-12-16 18:14:46.834869385+00:00,-65.56324896131473,153.46679107490493,6451881.330443235
50,2022-12-16 18:14:53.134872437+00:00,-65.93449833625169,153.10239050214773,6451826.198450382
51,2022-12-16 18:14:59.434844971+00:00,-66.30659548756614,152.72024974114254,6451632.273132225
52,2022-12-16 18:15:05.734832764+00:00,-66.67606744010693,152.3340091178818,6451584.6870279275
53,2022-12-16 18:15:12.034820557+00:00,-67.04636329244363,151.93540784072246,6451444.106922561
54,2022-12-16 18:15:18.334808350+00:00,-67.41643906277616,151.52849427350708,6451289.11065518
55,2022-12-16 18:15:24.634780884+00:00,-67.78187559729847,151.1070230194252,6451263.981446004
56,2022-12-16 18:15:30.934753418+00:00,-68.14736196224119,150.67939741273958,6451263.234843376
