t_start_utc,t_end_utc,n_images,mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-10T03:07:27Z,2023-02-10T03:09:33Z,43,2023-02-10T03:08:30Z,2023-02-10T02:45:12Z,-23.3,-80.871,-84.62,-80.854,-84.753,2.9,3.1
2023-02-10T03:55:39Z,2023-02-10T03:57:42Z,42,2023-02-10T03:56:39Z,2023-02-10T03:32:30Z,-24.1,80.907,83.686,80.864,83.319,7.5,8.1
2023-02-10T04:43:57Z,2023-02-10T04:46:03Z,43,2023-02-10T04:45:00Z,2023-02-10T04:19:48Z,-25.2,-80.875,-108.708,-80.882,-108.702,0.7,0.8
2023-02-10T05:32:06Z,2023-02-10T05:34:12Z,43,2023-02-10T05:33:09Z,2023-02-10T05:07:06Z,-26.1,80.911,59.599,80.893,59.366,3.8,4.6
2023-02-10T06:20:27Z,2023-02-10T06:22:33Z,43,2023-02-10T06:21:30Z,2023-02-10T05:54:24Z,-27.1,-80.879,-132.794,-80.914,-132.688,4.3,4.3
2023-02-10T07:08:36Z,2023-02-10T07:10:42Z,43,2023-02-10T07:09:39Z,2023-02-10T06:41:42Z,-27.9,80.916,35.527,80.924,35.383,0.5,2.7
2023-02-10T07:56:54Z,2023-02-10T07:59:03Z,44,2023-02-10T07:58:00Z,2023-02-10T07:29:00Z,-29.0,-80.883,-156.884,-80.944,-156.657,7.9,7.9
2023-02-10T08:45:06Z,2023-02-10T08:47:06Z,41,2023-02-10T08:46:09Z,2023-02-10T08:16:18Z,-29.9,80.92,11.438,80.954,11.409,3.0,3.8
2023-02-10T09:33:30Z,2023-02-10T09:34:33Z,22,2023-02-10T09:34:00Z,2023-02-10T09:04:00Z,-30.0,-81.756,-169.988,-81.623,170.236,174.0,317.0
2023-02-11T12:54:48Z,2023-02-11T12:56:21Z,32,2023-02-11T12:55:30Z,2023-02-11T13:25:30Z,30.0,-79.811,120.379,-79.747,124.413,43.6,80.0
2023-02-11T13:42:36Z,2023-02-11T13:44:30Z,39,2023-02-11T13:43:33Z,2023-02-11T14:12:57Z,29.4,80.099,-69.706,80.113,-70.047,2.7,6.7
2023-02-11T14:30:54Z,2023-02-11T14:32:51Z,40,2023-02-11T14:31:54Z,2023-02-11T15:00:15Z,28.4,-80.055,97.898,-80.152,97.837,7.9,10.9
2023-02-11T15:19:06Z,2023-02-11T15:21:00Z,39,2023-02-11T15:20:03Z,2023-02-11T15:47:33Z,27.5,80.101,-93.815,80.163,-94.07,2.5,8.4
2023-02-11T16:07:24Z,2023-02-11T16:09:21Z,40,2023-02-11T16:08:21Z,2023-02-11T16:34:48Z,26.4,-80.174,74.631,-80.086,74.699,6.9,9.9
2023-02-11T16:55:33Z,2023-02-11T16:57:30Z,40,2023-02-11T16:56:33Z,2023-02-11T17:22:09Z,25.6,80.103,-117.926,80.212,-118.101,7.7,12.6
2023-02-11T17:43:54Z,2023-02-11T17:45:48Z,39,2023-02-11T17:44:51Z,2023-02-11T18:09:24Z,24.6,-80.176,50.519,-80.137,50.671,1.7,5.2
2023-02-11T18:32:03Z,2023-02-11T18:34:00Z,40,2023-02-11T18:33:00Z,2023-02-11T18:56:42Z,23.7,80.222,-141.182,80.148,-141.238,7.2,8.3
2023-02-11T19:20:21Z,2023-02-11T19:22:18Z,40,2023-02-11T19:21:21Z,2023-02-11T19:44:00Z,22.6,-80.178,26.405,-80.187,26.635,3.5,4.5
2023-02-11T20:08:33Z,2023-02-11T20:10:27Z,39,2023-02-11T20:09:30Z,2023-02-11T20:31:18Z,21.8,80.224,-165.294,80.199,-165.279,2.1,2.8
2023-02-11T20:56:51Z,2023-02-11T20:58:48Z,40,2023-02-11T20:57:51Z,2023-02-11T21:18:36Z,20.8,-80.179,2.291,-80.238,2.59,8.6,8.7
2023-02-11T21:45:00Z,2023-02-11T21:46:57Z,40,2023-02-11T21:46:00Z,2023-02-11T22:05:54Z,19.9,80.226,170.593,80.25,170.671,3.0,3.1
2023-02-11T22:33:21Z,2023-02-11T22:35:18Z,40,2023-02-11T22:34:18Z,2023-02-11T22:53:12Z,18.9,-80.296,-20.959,-80.289,-21.465,6.3,9.5
