t_start_utc,t_end_utc,n_images,mats_obs_utc,aim_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_tp_to_aim_km
2023-02-10T02:14:01Z,2023-02-10T02:15:01Z,2,2023-02-10T02:14:01Z,2023-02-10T01:58:00Z,-16.0,80.88,114.806,81.026,105.164,80.9,169.4
2023-02-10T03:02:01Z,2023-02-10T03:02:57Z,2,2023-02-10T03:02:01Z,2023-02-10T02:45:00Z,-17.0,-81.199,-72.266,-80.442,-80.807,160.9,173.3
2023-02-10T03:50:01Z,2023-02-10T03:51:01Z,2,2023-02-10T03:51:01Z,2023-02-10T03:32:00Z,-19.0,79.905,80.921,79.759,92.617,115.9,230.0
2023-02-10T04:37:58Z,2023-02-10T04:39:00Z,2,2023-02-10T04:39:00Z,2023-02-10T04:20:00Z,-19.0,-80.395,-106.563,-81.245,-113.017,25.1,148.5
2023-02-10T05:26:59Z,2023-02-10T05:27:59Z,2,2023-02-10T05:26:59Z,2023-02-10T05:07:00Z,-20.0,80.944,67.44,80.694,61.407,85.1,110.7
2023-02-11T18:27:01Z,2023-02-11T18:28:01Z,2,2023-02-11T18:27:01Z,2023-02-11T18:57:00Z,30.0,79.974,-137.49,80.793,-146.974,31.4,198.2
2023-02-11T19:15:02Z,2023-02-11T19:15:57Z,2,2023-02-11T19:15:02Z,2023-02-11T19:44:00Z,29.0,-80.413,34.595,-80.187,26.635,116.7,151.3
2023-02-11T20:02:59Z,2023-02-11T20:03:59Z,2,2023-02-11T20:03:59Z,2023-02-11T20:31:00Z,27.0,78.872,-169.159,79.477,-160.221,166.8,198.4
2023-02-11T20:50:59Z,2023-02-11T20:52:01Z,2,2023-02-11T20:52:01Z,2023-02-11T21:18:00Z,26.0,-79.377,2.023,-78.741,12.092,85.7,223.9
2023-02-11T21:39:59Z,2023-02-11T21:40:59Z,2,2023-02-11T21:39:59Z,2023-02-11T22:06:00Z,26.0,80.04,174.798,80.471,168.806,31.0,122.6
2023-02-11T22:27:58Z,2023-02-11T22:29:00Z,2,2023-02-11T22:27:58Z,2023-02-11T22:53:00Z,25.0,-80.54,-12.384,-79.825,-17.964,130.1,132.4
2023-02-11T23:15:57Z,2023-02-11T23:16:57Z,2,2023-02-11T23:16:57Z,2023-02-11T23:40:00Z,23.0,78.956,143.07,79.078,154.842,165.1,249.6
2023-02-12T00:03:56Z,2023-02-12T00:04:58Z,2,2023-02-12T00:04:58Z,2023-02-12T00:28:00Z,23.0,-79.468,-45.647,-80.764,-49.415,79.6,161.2
2023-02-12T00:53:01Z,2023-02-12T00:53:01Z,1,2023-02-12T00:53:01Z,2023-02-12T01:15:00Z,22.0,79.976,125.964,80.128,124.358,5.8,35.2
2023-02-12T01:41:02Z,2023-02-12T01:41:58Z,2,2023-02-12T01:41:02Z,2023-02-12T02:02:00Z,21.0,-80.417,-61.929,-79.448,-62.78,90.7,109.0
2023-02-12T02:28:59Z,2023-02-12T02:29:59Z,2,2023-02-12T02:29:59Z,2023-02-12T02:50:00Z,20.0,78.88,94.355,81.015,92.428,186.2,240.6
2023-02-12T03:16:59Z,2023-02-12T03:18:01Z,2,2023-02-12T03:18:01Z,2023-02-12T03:37:00Z,19.0,-79.388,-94.411,-80.445,-93.707,104.7,118.5
2023-02-12T04:05:59Z,2023-02-12T04:05:59Z,1,2023-02-12T04:05:59Z,2023-02-12T04:24:00Z,18.0,80.052,78.374,79.766,79.702,8.2,41.1
2023-02-12T04:53:58Z,2023-02-12T04:55:00Z,2,2023-02-12T04:53:58Z,2023-02-12T05:11:00Z,17.0,-80.545,-108.797,-79.055,-107.77,105.9,167.1
2023-02-12T05:41:57Z,2023-02-12T05:42:57Z,2,2023-02-12T05:42:57Z,2023-02-12T05:59:00Z,16.0,78.961,46.601,80.718,48.302,184.1,198.4
2023-02-12T06:30:03Z,2023-02-12T06:30:58Z,2,2023-02-12T06:30:58Z,2023-02-12T06:46:00Z,15.0,-79.476,-142.052,-80.106,-138.213,101.2,103.2
2023-02-12T07:18:01Z,2023-02-12T07:19:01Z,2,2023-02-12T07:19:01Z,2023-02-12T07:33:00Z,14.0,79.979,29.544,79.388,34.85,17.1,124.5
2023-02-12T08:07:01Z,2023-02-12T08:07:57Z,2,2023-02-12T08:07:01Z,2023-02-12T08:21:00Z,14.0,-80.435,-158.21,-80.996,-170.097,73.0,222.0
2023-02-12T08:55:01Z,2023-02-12T08:56:01Z,2,2023-02-12T08:55:01Z,2023-02-12T09:08:00Z,13.0,80.932,15.264,80.399,3.956,178.1,212.2
2023-02-12T09:42:58Z,2023-02-12T09:44:00Z,2,2023-02-12T09:44:00Z,2023-02-12T09:55:00Z,11.0,-79.401,169.166,-79.749,177.075,125.3,163.8
2023-02-12T10:30:58Z,2023-02-12T10:31:59Z,2,2023-02-12T10:31:59Z,2023-02-12T10:42:00Z,10.0,80.065,-18.023,78.994,-10.18,13.2,198.2
2023-02-12T11:19:57Z,2023-02-12T11:20:59Z,2,2023-02-12T11:19:57Z,2023-02-12T11:30:00Z,10.0,-80.565,154.87,-80.703,145.71,87.8,166.5
2023-02-12T12:07:57Z,2023-02-12T12:08:57Z,2,2023-02-12T12:07:57Z,2023-02-12T12:17:00Z,9.0,81.044,-31.462,80.059,-40.594,193.2,199.4
2023-02-12T12:56:03Z,2023-02-12T12:56:58Z,2,2023-02-12T12:56:58Z,2023-02-12T13:04:00Z,7.0,-79.489,121.491,-79.377,132.177,121.7,218.2
2023-02-12T13:44:01Z,2023-02-12T13:45:01Z,2,2023-02-12T13:45:01Z,2023-02-12T13:52:00Z,7.0,79.99,-66.883,80.962,-72.459,35.4,149.0
2023-02-12T14:33:02Z,2023-02-12T14:33:58Z,2,2023-02-12T14:33:02Z,2023-02-12T14:39:00Z,6.0,-80.429,105.212,-80.388,101.308,47.5,72.5
2023-02-12T15:21:01Z,2023-02-12T15:22:01Z,2,2023-02-12T15:21:01Z,2023-02-12T15:26:00Z,5.0,80.944,-81.078,79.702,-85.349,155.8,159.5
2023-02-12T16:08:59Z,2023-02-12T16:10:01Z,2,2023-02-12T16:10:01Z,2023-02-12T16:14:00Z,4.0,-79.406,72.713,-81.223,68.94,143.2,214.1
2023-02-12T16:57:59Z,2023-02-12T16:57:59Z,1,2023-02-12T16:57:59Z,2023-02-12T17:01:00Z,3.0,80.056,-114.561,80.669,-116.699,34.3,79.0
2023-02-15T00:27:01Z,2023-02-15T00:27:56Z,2,2023-02-15T00:27:56Z,2023-02-15T00:58:00Z,30.1,-78.233,-58.436,-80.252,-52.165,259.1,259.5
2023-02-15T01:15:00Z,2023-02-15T01:16:00Z,2,2023-02-15T01:16:00Z,2023-02-15T01:45:00Z,29.0,78.723,111.964,79.551,121.026,187.6,211.0
2023-02-15T02:02:58Z,2023-02-15T02:04:00Z,2,2023-02-15T02:04:00Z,2023-02-15T02:32:00Z,28.0,-79.357,-76.169,-78.852,-66.768,86.2,205.4
2023-02-15T02:51:58Z,2023-02-15T02:52:58Z,2,2023-02-15T02:51:58Z,2023-02-15T03:20:00Z,28.0,79.985,96.314,80.563,89.701,24.0,139.9
2023-02-15T03:39:58Z,2023-02-15T03:41:00Z,2,2023-02-15T03:39:58Z,2023-02-15T04:07:00Z,27.0,-80.47,-91.14,-79.956,-97.171,118.6,127.6
2023-02-15T04:28:02Z,2023-02-15T04:29:02Z,2,2023-02-15T04:28:02Z,2023-02-15T04:54:00Z,26.0,80.818,80.579,79.224,75.736,190.7,200.4
2023-02-15T05:16:01Z,2023-02-15T05:16:57Z,2,2023-02-15T05:16:57Z,2023-02-15T05:42:00Z,25.0,-79.44,-123.842,-80.896,-129.065,80.9,189.9
2023-02-15T06:05:00Z,2023-02-15T06:05:00Z,1,2023-02-15T06:05:00Z,2023-02-15T06:29:00Z,24.0,79.903,47.421,80.284,44.841,3.6,65.1
2023-02-15T06:53:00Z,2023-02-15T06:54:02Z,2,2023-02-15T06:53:00Z,2023-02-15T07:16:00Z,23.0,-80.391,-140.182,-79.648,-142.323,89.1,92.4
2023-02-15T07:41:00Z,2023-02-15T07:42:00Z,2,2023-02-15T07:41:00Z,2023-02-15T08:03:00Z,22.0,80.869,32.978,78.888,30.316,189.8,226.6
