mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-11T22:33:57Z,2023-02-11T22:53:00Z,19.0,-81.008,-14.58,-79.825,-17.964,140.3,145.8
2023-02-11T22:34:59Z,2023-02-11T22:53:00Z,18.0,-78.514,-31.345,-79.825,-17.964,273.8,314.7
2023-02-11T23:22:02Z,2023-02-11T23:40:00Z,18.0,81.204,155.508,79.078,154.842,177.9,237.0
2023-02-11T23:23:02Z,2023-02-11T23:41:00Z,18.0,78.879,138.353,81.285,136.333,220.7,270.6
2023-02-12T00:10:02Z,2023-02-12T00:28:00Z,18.0,-81.731,-29.384,-80.764,-49.415,304.4,353.9
2023-02-12T00:10:58Z,2023-02-12T00:28:00Z,17.0,-79.882,-47.973,-80.764,-49.415,68.0,101.8
2023-02-12T00:58:02Z,2023-02-12T01:15:00Z,17.0,81.971,143.092,80.128,124.358,373.9,381.2
2023-02-12T00:59:02Z,2023-02-12T01:15:00Z,16.0,80.147,121.817,80.128,124.358,26.9,48.5
2023-02-12T01:47:01Z,2023-02-12T02:02:00Z,15.0,-80.881,-64.112,-79.448,-62.78,103.0,161.5
2023-02-12T01:47:57Z,2023-02-12T02:03:00Z,15.0,-78.623,-79.094,-81.504,-82.374,265.4,326.7
2023-02-12T02:35:00Z,2023-02-12T02:50:00Z,15.0,81.259,107.899,81.015,92.428,180.9,265.9
2023-02-12T02:36:00Z,2023-02-12T02:50:00Z,14.0,78.959,90.509,81.015,92.428,218.8,231.7
2023-02-12T03:22:58Z,2023-02-12T03:37:00Z,14.0,-81.828,-75.895,-80.445,-93.707,320.2,340.2
2023-02-12T03:24:00Z,2023-02-12T03:37:00Z,13.0,-79.803,-96.728,-80.445,-93.707,91.4,91.9
2023-02-12T04:11:00Z,2023-02-12T04:24:00Z,13.0,82.002,95.587,79.766,79.702,372.5,372.5
2023-02-12T04:12:00Z,2023-02-12T04:24:00Z,12.0,80.213,74.072,79.766,79.702,26.3,119.7
2023-02-12T04:59:57Z,2023-02-12T05:11:00Z,11.0,-81.031,-110.829,-79.055,-107.77,121.6,227.6
2023-02-12T05:00:59Z,2023-02-12T05:12:00Z,11.0,-78.547,-127.685,-81.264,-126.125,285.8,303.9
2023-02-12T05:47:58Z,2023-02-12T05:59:00Z,11.0,81.322,60.448,80.718,48.302,183.4,221.0
2023-02-12T05:48:58Z,2023-02-12T05:59:00Z,10.0,79.055,42.77,80.718,48.302,214.2,214.2
2023-02-12T06:36:02Z,2023-02-12T06:46:00Z,10.0,-81.733,-125.787,-80.106,-138.213,280.7,282.6
2023-02-12T06:36:58Z,2023-02-12T06:46:00Z,9.0,-79.889,-144.404,-80.106,-138.213,87.8,122.1
2023-02-12T07:23:58Z,2023-02-12T07:33:00Z,9.0,82.04,48.256,79.388,34.85,373.8,379.1
2023-02-12T07:24:58Z,2023-02-12T07:33:00Z,8.0,80.294,26.447,79.388,34.85,23.0,193.1
2023-02-12T08:13:01Z,2023-02-12T08:21:00Z,8.0,-80.892,-160.473,-80.996,-170.097,85.5,168.8
2023-02-12T08:13:57Z,2023-02-12T08:21:00Z,7.0,-78.639,-175.501,-80.996,-170.097,281.8,282.8
2023-02-12T09:00:58Z,2023-02-12T09:08:00Z,7.0,81.325,12.212,80.399,3.956,172.0,178.4
2023-02-12T09:01:58Z,2023-02-12T09:08:00Z,6.0,79.058,-5.473,80.399,3.956,223.3,238.9
2023-02-12T09:48:58Z,2023-02-12T09:55:00Z,6.0,-81.827,-172.423,-79.749,177.075,294.8,296.6
2023-02-12T09:50:00Z,2023-02-12T09:55:00Z,5.0,-79.8,166.753,-79.749,177.075,112.3,203.8
2023-02-12T10:37:02Z,2023-02-12T10:42:00Z,5.0,81.972,-1.612,78.994,-10.18,336.4,366.2
2023-02-12T10:38:02Z,2023-02-12T10:43:00Z,5.0,80.151,-22.901,81.231,-28.435,55.5,156.1
2023-02-12T11:25:57Z,2023-02-12T11:30:00Z,4.0,-81.028,152.611,-80.703,145.71,100.9,127.1
2023-02-12T11:26:59Z,2023-02-12T11:30:00Z,3.0,-78.542,135.768,-80.703,145.71,304.8,311.7
2023-02-12T12:14:02Z,2023-02-12T12:17:00Z,3.0,81.208,-37.473,80.059,-40.594,134.6,139.8
2023-02-12T12:15:02Z,2023-02-12T12:17:00Z,2.0,78.884,-54.637,80.059,-40.594,258.2,313.2
2023-02-12T13:02:02Z,2023-02-12T13:04:00Z,2.0,-81.739,137.735,-79.377,132.177,257.1,281.5
2023-02-12T13:02:58Z,2023-02-12T13:05:00Z,2.0,-79.895,119.102,-81.462,112.815,104.7,207.7
2023-02-12T13:50:00Z,2023-02-12T13:51:00Z,1.0,82.016,-48.879,78.59,-55.381,339.0,399.7
2023-02-12T13:51:00Z,2023-02-12T13:52:00Z,1.0,80.24,-70.49,80.962,-72.459,50.5,88.0
2023-02-12T14:39:01Z,2023-02-12T14:39:00Z,-0.0,-80.887,102.95,-80.388,101.308,62.4,63.0
2023-02-12T14:39:57Z,2023-02-12T14:39:00Z,-1.0,-78.632,87.943,-80.388,101.308,300.5,332.9
2023-02-12T15:27:00Z,2023-02-12T15:26:00Z,-1.0,81.269,-84.969,79.702,-85.349,137.0,174.6
2023-02-12T15:28:00Z,2023-02-12T15:27:00Z,-1.0,78.975,-102.407,81.651,-105.877,251.4,304.8
2023-02-12T16:14:58Z,2023-02-12T16:13:00Z,-2.0,-81.83,91.149,-78.991,87.102,271.7,324.6
2023-02-12T16:16:00Z,2023-02-12T16:14:00Z,-2.0,-79.807,70.299,-81.223,68.94,128.2,159.6
2023-02-14T19:43:59Z,2023-02-14T20:14:00Z,30.0,-79.779,18.112,-79.526,23.922,50.6,119.5
2023-02-14T20:31:58Z,2023-02-14T21:02:00Z,30.0,80.255,-170.634,81.075,178.913,29.6,209.3
