mats_obs_utc,aim_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_tp_to_aim_km
2023-02-12T03:16:59Z,2023-02-12T03:37:00Z,20.0,-81.307,-74.155,-80.445,-93.707,308.4,356.3
2023-02-12T03:18:01Z,2023-02-12T03:37:00Z,19.0,-79.388,-94.411,-80.445,-93.707,104.7,118.5
2023-02-12T04:05:59Z,2023-02-12T04:24:00Z,18.0,80.052,78.374,79.766,79.702,8.2,41.1
2023-02-12T04:53:58Z,2023-02-12T05:11:00Z,17.0,-80.545,-108.797,-79.055,-107.77,105.9,167.1
2023-02-12T04:55:00Z,2023-02-12T05:12:00Z,17.0,-78.164,-125.463,-81.264,-126.125,302.4,345.4
2023-02-12T05:41:57Z,2023-02-12T05:59:00Z,17.0,81.034,64.949,80.718,48.302,217.3,294.9
2023-02-12T05:42:57Z,2023-02-12T05:59:00Z,16.0,78.961,46.601,80.718,48.302,184.1,198.4
2023-02-12T06:30:03Z,2023-02-12T06:46:00Z,15.9,-81.22,-123.917,-80.106,-138.213,268.5,285.4
2023-02-12T06:30:58Z,2023-02-12T06:46:00Z,15.0,-79.476,-142.052,-80.106,-138.213,101.2,103.2
2023-02-12T07:18:01Z,2023-02-12T07:33:00Z,15.0,81.572,51.124,79.388,34.85,383.6,383.6
2023-02-12T07:19:01Z,2023-02-12T07:33:00Z,14.0,79.979,29.544,79.388,34.85,17.1,124.5
2023-02-12T08:07:01Z,2023-02-12T08:21:00Z,14.0,-80.435,-158.21,-80.996,-170.097,73.0,222.0
2023-02-12T08:07:57Z,2023-02-12T08:21:00Z,13.0,-78.283,-173.135,-80.996,-170.097,295.0,308.0
2023-02-12T08:55:01Z,2023-02-12T09:08:00Z,13.0,80.932,15.264,80.399,3.956,178.1,212.2
2023-02-12T08:56:01Z,2023-02-12T09:08:00Z,12.0,78.797,-2.603,80.399,3.956,220.8,221.5
2023-02-12T09:42:58Z,2023-02-12T09:55:00Z,12.0,-81.313,-170.538,-79.749,177.075,283.2,285.0
2023-02-12T09:44:00Z,2023-02-12T09:55:00Z,11.0,-79.401,169.166,-79.749,177.075,125.3,163.8
2023-02-12T10:30:58Z,2023-02-12T10:42:00Z,11.0,81.625,4.243,78.994,-10.18,391.7,396.3
2023-02-12T10:31:59Z,2023-02-12T10:42:00Z,10.0,80.065,-18.023,78.994,-10.18,13.2,198.2
2023-02-12T11:19:57Z,2023-02-12T11:30:00Z,10.0,-80.565,154.87,-80.703,145.71,87.8,166.5
